Natureza,E.P. Nº,Ordem Cronológica,Proc. DEPRE Nº,Vara,Comarca,Nº de autos,Devedora,Advogado(s)
,,,,,0004664-20.2019.8.26.0322,,Paulo Eduardo Martins Neto (OAB n°67755SP),
,,,,,0038184-02.2019.8.26.0053,,Daniel Pedraz Delgallo (OAB n°187364SP),
,,,,,0011109-49.2019.8.26.0453,,Tatiana Alves Segura Pontes (OAB n°208929SP),
,,,,,0007073-34.2018.8.26.0053,,Daniel Deperon de Macedo (OAB n°184618SP),
,,,,,1035158-13.2018.8.26.0053,,Roberto Duarte Bertotti (OAB n°177391SP),
,,,,,0013918-83.2020.8.26.0224,,Lucas Malachias Anselmo (OAB n°359753SP),Rodrigo Soares Pereira (OAB n°340619SP)
,,,,,0020081-44.2019.8.26.0053,,Carlos Alberto Branco (OAB n°143911SP),
,,,,,0001125-48.2017.8.26.0053,,Joao Carlos Amaral Diodatti (OAB n°99484SP),
,,,,,0001125-48.2017.8.26.0053,,Joao Carlos Amaral Diodatti (OAB n°99484SP),
,,,,,0001125-48.2017.8.26.0053,,Joao Carlos Amaral Diodatti (OAB n°99484SP),
,,,,,1009967-92.2020.8.26.0053,,Gustavo Scudeler Negrato (OAB n°183397SP),
,,,,,0005816-03.2020.8.26.0053,,Fernando Henrique Pittner Vieira Gomes (OAB n°312218SP),
,,,,,0012444-47.2016.8.26.0053,,Gustavo de Tommaso Sandoval (OAB n°407584SP),
,,,,,0012444-47.2016.8.26.0053,,Luis Renato Peres Alves Ferreira Avezum (OAB n°329796SP),
,,,,,1000140-05.2020.8.26.0620,,Adail Aparecido de Oliveira (OAB n°436441SP),
,,,,,0037593-74.2018.8.26.0053,,Clelia Consuelo Bastidas de Prince (OAB n°163569SP),
,,,,,0002188-83.2020.8.26.0189,,Diego Leonardo Milani Guarnieri (OAB n°283015SP),
,,,,,0001814-62.2020.8.26.0223,,Carlos Jose de Oliveira Toffoli (OAB n°89826SP),
,,,,,0017481-50.2019.8.26.0053,,Joao Carlos Amaral Diodatti (OAB n°99484SP),
,,,,,0017481-50.2019.8.26.0053,,Joao Carlos Amaral Diodatti (OAB n°99484SP),
,,,,,0017481-50.2019.8.26.0053,,Joao Carlos Amaral Diodatti (OAB n°99484SP),
,,,,,0003043-93.2020.8.26.0114,,ODAIR LEAL SEROTINI (OAB n°133605SP),Weslley Wallysson Serotini (OAB n°374931SP)
,,,,,0010761-04.2018.8.26.0053,,Joao Carlos Amaral Diodatti (OAB n°99484SP),
,,,,,0010307-64.2020.8.26.0114,,ODAIR LEAL SEROTINI (OAB n°133605SP),Weslley Wallysson Serotini (OAB n°374931SP)
,,,,,0020580-96.2017.8.26.0053,,Clelia Consuelo Bastidas de Prince (OAB n°163569SP),
,,,,,0008901-46.2020.8.26.0554,,Rosangela da Rocha Souza (OAB n°129914SP),
,,,,,0006383-45.2020.8.26.0114,,ODAIR LEAL SEROTINI (OAB n°133605SP),Weslley Wallysson Serotini (OAB n°374931SP)
,,,,,0008351-36.2019.8.26.0053,,Gustavo de Tommaso Sandoval (OAB n°407584SP),
,,,,,0020389-18.2020.8.26.0224,,Claudemir Estevam dos Santos (OAB n°260641SP),Fernanda Leal Santini Cavichio (OAB n°292213SP)
,,,,,0021231-26.2020.8.26.0053,,Antonio Roberto Sandoval Filho (OAB n°58283SP),Luis Renato Peres Alves Ferreira Avezum (OAB n°329796SP)
,,,,,0019898-39.2020.8.26.0053,,Roberto Duarte Bertotti (OAB n°177391SP),
,,,,,0001692-62.2020.8.26.0445,,Natasha Magalhães dos Santos (OAB n°338718SP),
,,,,,0003646-06.2020.8.26.0038,,Roberto Duarte Bertotti (OAB n°177391SP),
,,,,,0009046-87.2019.8.26.0053,,Luis Renato Peres Alves Ferreira Avezum (OAB n°329796SP),
,,,,,0004409-64.2017.8.26.0053,,Joao Carlos Amaral Diodatti (OAB n°99484SP),
,,,,,0004409-64.2017.8.26.0053,,Joao Carlos Amaral Diodatti (OAB n°99484SP),
,,,,,1029748-82.2018.8.26.0114,,Alexandre Costa Freitas Bueno (OAB n°242934SP),
,,,,,0016789-28.2020.8.26.0114,,Aruan Libanori Kuhne (OAB n°271870SP),
,,,,,1065394-74.2020.8.26.0053,,Gustavo de Tommaso Sandoval (OAB n°407584SP),
,,,,,0017683-95.2017.8.26.0053,,Gustavo de Tommaso Sandoval (OAB n°407584SP),
,,,,,0001460-67.2017.8.26.0053,,Gustavo de Tommaso Sandoval (OAB n°407584SP),
,,,,,1055981-08.2018.8.26.0053,,Aparecido Inácio Ferrari de Medeiros (OAB n°97365SP),
,,,,,0006962-21.2016.8.26.0053,,Gustavo de Tommaso Sandoval (OAB n°407584SP),
,,,,,0027118-88.2020.8.26.0053,,Joao Carlos Amaral Diodatti (OAB n°99484SP),
,,,,,0007208-17.2016.8.26.0053,,Gustavo de Tommaso Sandoval (OAB n°407584SP),
,,,,,0020541-94.2020.8.26.0053,,Andre Luis Froldi (OAB n°273464SP),
,,,,,0039161-28.2018.8.26.0053,,Clelia Consuelo Bastidas de Prince (OAB n°163569SP),
,,,,,0025279-28.2020.8.26.0053,,Wellington Negri da Silva (OAB n°237006SP),
,,,,,0011180-27.2020.8.26.0482,,Luciano de Toledo Cerqueira (OAB n°150759SP),
,,,,,0000051-83.2021.8.26.0128,,Claudio Gomes Rocha (OAB n°343260SP),
,,,,,0000011-07.2021.8.26.0418,,CARLOS JOSE DE OLIVEIRA TOFFOLI E OUTROS (OAB n°89826SP),
,,,,,0005168-53.2020.8.26.0625,,Gabriela Gambi Alves (OAB n°449579SP),
,,,,,0006451-81.2020.8.26.0053,,Wellington Negri da Silva (OAB n°237006SP),
